Champion,Overall_Winrate,Aftershock_Winrate,Aftershock_Pickrate,Aftershock_Games,Arcane Comet_Winrate,Arcane Comet_Pickrate,Arcane Comet_Games,Conqueror_Winrate,Conqueror_Pickrate,Conqueror_Games,Dark Harvest_Winrate,Dark Harvest_Pickrate,Dark Harvest_Games,Electrocute_Winrate,Electrocute_Pickrate,Electrocute_Games,First Strike_Winrate,First Strike_Pickrate,First Strike_Games,Fleet Footwork_Winrate,Fleet Footwork_Pickrate,Fleet Footwork_Games,Glacial Augment_Winrate,Glacial Augment_Pickrate,Glacial Augment_Games,Grasp of the Undying_Winrate,Grasp of the Undying_Pickrate,Grasp of the Undying_Games,Guardian_Winrate,Guardian_Pickrate,Guardian_Games,Hail of Blades_Winrate,Hail of Blades_Pickrate,Hail of Blades_Games,Lethal Tempo_Winrate,Lethal Tempo_Pickrate,Lethal Tempo_Games,Phase Rush_Winrate,Phase Rush_Pickrate,Phase Rush_Games,Press the Attack_Winrate,Press the Attack_Pickrate,Press the Attack_Games,Summon Aery_Winrate,Summon Aery_Pickrate,Summon Aery_Games,Unsealed Spellbook_Winrate,Unsealed Spellbook_Pickrate,Unsealed Spellbook_Games
Vex,51.13,55.0,0.1,80,53.8,2.2,"1,719",49.1,0.3,218,50.9,81.8,"63,634",52.1,14.1,"10,956",55.1,0.3,205,52.9,0.0,17,58.5,0.1,41,48.3,0.2,149,50.0,0.0,16,54.5,0.0,33,48.7,0.2,156,53.1,0.4,290,60.5,0.1,86,39.7,0.2,146,40.0,0.0,15
Vi,45.17,49.3,0.8,497,54.1,0.1,37,45.1,28.6,"17,729",36.2,3.8,"2,343",36.6,1.7,"1,060",31.4,0.1,70,50.0,0.0,26,16.7,0.0,12,52.6,10.0,"6,190",53.3,0.0,15,44.7,54.1,"33,475",44.2,0.3,197,38.2,0.1,68,41.7,0.3,156,34.8,0.0,23,40.0,0.0,10
Viego,50.76,55.1,0.0,49,38.2,0.0,55,51.1,85.7,"127,937",46.9,10.0,"14,928",46.2,0.2,253,55.7,0.1,79,64.0,0.1,75,45.5,0.0,11,54.2,0.3,461,41.7,0.0,12,55.3,2.3,"3,422",46.7,0.3,407,36.7,0.0,60,50.1,1.0,"1,550",25.0,0.0,32,25.0,0.0,24
Viktor,52.45,48.3,0.0,29,52.8,18.0,"24,685",51.6,0.4,554,51.9,63.0,"86,278",53.2,0.4,547,54.2,12.4,"17,039",59.0,0.2,249,36.4,0.0,22,52.1,0.5,656,55.6,0.0,9,47.6,0.0,42,47.1,0.1,191,53.0,2.2,"3,023",56.3,0.0,64,54.7,2.6,"3,607",48.3,0.0,29
Vladimir,53.1,,,,43.5,0.2,193,57.5,8.7,"7,748",52.5,44.1,"39,371",54.1,0.9,830,51.9,0.1,77,50.0,0.0,34,,,,44.4,1.0,898,53.3,0.0,15,31.4,0.0,35,39.6,0.1,111,53.2,43.9,"39,121",41.5,0.1,53,48.5,0.8,709,33.3,0.0,12
Volibear,48.18,48.9,1.0,374,38.6,1.4,544,44.9,23.4,"9,036",38.5,2.2,850,36.6,0.2,93,40.0,0.2,80,33.3,0.1,24,30.0,0.0,10,52.0,53.9,"20,814",58.6,0.1,29,30.1,0.2,83,45.3,6.7,"2,572",32.4,0.3,108,42.3,10.2,"3,936",44.8,0.1,29,54.5,0.0,11
Warwick,48.63,49.5,0.4,101,50.0,0.2,52,48.2,28.3,"6,546",39.4,3.9,895,40.8,0.4,103,32.3,0.1,31,41.4,0.3,58,60.0,0.1,15,49.3,35.7,"8,264",60.0,0.0,10,36.8,0.4,87,51.8,18.2,"4,205",40.2,0.5,107,47.2,11.4,"2,634",40.9,0.1,22,36.4,0.0,11
Wukong,53.06,53.4,0.1,58,45.9,0.1,61,53.8,88.2,"66,020",46.5,8.2,"6,147",47.0,1.2,898,50.0,0.1,50,51.9,0.1,54,15.4,0.0,13,54.3,1.5,"1,125",55.6,0.0,9,41.5,0.1,94,50.8,0.2,132,48.8,0.1,86,35.8,0.1,109,50.0,0.0,16,33.3,0.0,18
Xayah,54.6,46.4,0.0,28,45.6,0.1,160,56.8,2.7,"3,830",51.2,1.2,"1,653",38.8,0.1,103,56.5,0.1,92,50.6,3.4,"4,861",50.0,0.0,8,31.0,0.1,87,30.8,0.0,13,55.6,0.2,356,54.9,86.5,"123,573",46.4,0.0,28,52.6,5.5,"7,859",50.7,0.2,270,60.0,0.0,10
Xerath,52.59,50.8,0.0,61,53.9,22.8,"36,474",52.0,0.2,294,52.2,75.2,"120,289",51.9,0.1,231,54.6,1.0,"1,630",43.4,0.0,53,72.7,0.0,22,40.4,0.1,104,42.9,0.0,14,50.0,0.0,60,45.2,0.1,210,49.4,0.0,79,51.6,0.1,95,54.6,0.1,229,44.7,0.0,38
Xin Zhao,52.54,48.3,0.1,60,46.6,0.1,73,53.7,80.7,"56,958",42.1,1.0,700,42.1,0.6,394,44.4,0.1,36,52.6,0.1,57,16.7,0.0,6,53.0,1.4,965,33.3,0.0,12,47.6,13.6,"9,568",48.3,2.0,"1,421",44.6,0.1,92,48.8,0.3,205,33.3,0.0,21,55.6,0.0,18
Yasuo,55.34,49.2,0.0,61,40.0,0.1,95,54.7,56.3,"93,653",48.0,0.5,771,46.3,0.1,175,34.1,0.0,44,55.9,10.7,"17,809",26.1,0.0,23,57.8,2.8,"4,704",57.1,0.0,14,45.7,0.1,208,56.4,29.0,"48,183",51.3,0.0,76,55.5,0.2,384,26.4,0.0,53,31.8,0.0,22
Yone,51.29,40.0,0.0,65,36.8,0.0,76,51.2,17.5,"28,638",41.7,0.4,666,46.2,0.1,238,40.0,0.0,40,55.2,1.8,"2,872",31.6,0.0,19,54.3,1.0,"1,575",40.0,0.0,10,43.8,0.1,192,51.5,76.1,"124,648",39.6,0.0,48,47.2,2.9,"4,678",34.9,0.0,43,32.0,0.0,25
Yorick,53.28,,,,47.4,5.7,"1,197",51.0,29.5,"6,201",41.1,14.9,"3,128",37.5,0.2,48,46.5,0.4,86,34.4,0.2,32,,,,59.2,48.4,"10,159",75.0,0.0,8,73.3,0.1,15,50.0,0.2,38,50.0,0.1,22,40.9,0.1,22,64.1,0.2,39,50.0,0.0,8
Yuumi,47.43,,,,45.8,19.8,"15,479",30.1,0.2,136,40.5,14.3,"11,201",34.3,0.1,67,46.3,0.3,257,42.3,0.0,26,,,,23.2,0.1,82,46.1,0.3,217,20.0,0.0,30,31.0,0.3,203,30.3,0.0,33,35.2,0.1,71,49.7,64.4,"50,283",42.6,0.1,47
Yunara,45.76,,,,40.8,0.4,512,44.7,0.4,580,38.0,1.1,"1,485",37.8,0.1,74,33.1,0.1,130,44.8,0.1,192,,,,42.6,0.1,122,50.0,0.0,2,40.1,3.8,"5,335",46.1,93.4,"131,940",33.3,0.0,33,47.5,0.5,751,29.2,0.0,48,28.6,0.0,14
Zac,48.65,49.5,49.7,"33,147",38.4,0.1,86,48.7,26.3,"17,552",35.4,2.9,"1,910",35.8,0.5,358,31.1,0.1,74,26.9,0.0,26,45.2,0.0,31,49.2,19.7,"13,139",41.3,0.1,46,26.9,0.0,26,42.5,0.1,87,42.1,0.2,114,31.6,0.1,38,38.1,0.0,21,31.3,0.0,16
Zed,49.65,,,,51.6,0.1,256,53.4,20.1,"40,414",48.8,41.4,"83,175",48.4,37.1,"74,602",57.8,0.8,"1,696",41.9,0.0,74,,,,52.1,0.1,240,37.5,0.0,16,49.4,0.1,168,45.6,0.1,226,46.9,0.0,64,42.3,0.1,123,34.5,0.0,55,41.2,0.0,34
Zeri,52.74,,,,37.0,0.3,289,56.2,0.5,534,41.3,4.4,"4,863",43.8,0.2,249,47.0,0.9,"1,034",46.8,0.4,449,,,,45.7,0.2,184,58.3,0.0,12,44.1,0.1,68,53.8,86.5,"96,019",52.8,0.0,53,48.5,6.5,"7,210",43.2,0.0,37,38.9,0.0,18
Ziggs,50.43,41.7,0.0,36,51.9,32.0,"38,231",48.6,0.2,245,49.7,66.2,"79,140",49.3,0.2,209,54.1,0.6,669,45.5,0.0,44,44.1,0.0,34,51.5,0.1,97,63.6,0.0,11,39.6,0.0,53,42.3,0.2,196,38.5,0.1,78,39.0,0.1,82,51.8,0.3,338,62.9,0.0,35
Zilean,48.52,46.7,0.1,45,50.1,26.2,"22,461",46.9,0.2,130,47.4,61.8,"52,927",49.7,0.2,173,53.0,0.2,183,48.9,0.1,47,50.9,0.9,747,41.5,0.6,513,54.7,0.2,212,56.4,0.0,39,42.0,0.2,188,46.9,0.4,343,21.9,0.1,64,52.3,8.5,"7,313",43.6,0.3,259
Zoe,51.31,45.7,0.0,35,48.4,5.6,"7,368",49.0,0.2,200,51.4,89.6,"119,005",52.9,3.1,"4,057",53.4,0.4,590,46.0,0.0,63,55.7,0.1,70,54.9,0.1,162,38.5,0.0,13,49.0,0.0,49,38.4,0.1,177,57.5,0.1,113,43.1,0.1,72,54.2,0.5,710,58.1,0.0,62
Zyra,53.19,42.9,0.0,28,55.0,26.9,"24,231",51.5,0.6,520,52.5,69.7,"62,848",54.7,1.0,887,58.5,0.5,494,40.7,0.0,27,51.0,0.2,145,61.4,0.1,101,46.7,0.0,15,35.9,0.0,39,46.0,0.2,139,51.4,0.1,74,38.0,0.1,50,56.0,0.6,498,42.9,0.0,21
